,inds,EAR_vals,sec
8826,8826,0.14745148171778327,177.58551307847083
8827,8827,0.08078837030482308,177.6056338028169
8828,8828,0.0811436830064058,177.62575452716297
8829,8829,0.05430369826219597,177.64587525150904
8830,8830,0.0695474832982167,177.6659959758551
8831,8831,0.0977142082708498,177.6861167002012
8832,8832,0.12559143976176693,177.70623742454728
8833,8833,0.16652217884872533,177.72635814889335
9189,9189,0.15739578123357928,184.88933601609656
9194,9194,0.11995205752330736,184.98993963782695
9195,9195,0.07689466056274286,185.01006036217302
9196,9196,0.08070132945206285,185.0301810865191
9197,9197,0.05823769970886475,185.0503018108652
9198,9198,0.04806271489675605,185.07042253521126
9199,9199,0.052045537611881965,185.09054325955734
9200,9200,0.04998401917443579,185.1106639839034
9201,9201,0.04242721038603643,185.13078470824948
9202,9202,0.08996803834887157,185.15090543259555
9203,9203,0.11231273729830528,185.17102615694165
9204,9204,0.12995205752330738,185.19114688128772
9205,9205,0.14279789996838566,185.2112676056338
9207,9207,0.16461568360018394,185.25150905432594
9224,9224,0.17498114449216892,185.59356136820924
9227,9227,0.17640261101267093,185.65392354124748
9249,9249,0.17413188284059694,186.09657947686117
9251,9251,0.17735401827674924,186.1368209255533
9266,9266,0.17109423557411632,186.43863179074447
9270,9270,0.17109423557411632,186.51911468812875
9271,9271,0.16896656780168778,186.53923541247485
9272,9272,0.14739583333949166,186.55935613682092
9273,9273,0.17109423557411632,186.579476861167
9274,9274,0.17186656599763156,186.59959758551307
9277,9277,0.17232430816552846,186.6599597585513
9279,9279,0.15927293415086358,186.70020120724345
9280,9280,0.17640261101267093,186.72032193158952
9281,9281,0.17109423557411632,186.7404426559356
9284,9284,0.15333333333333332,186.80080482897384
9285,9285,0.1552496751268847,186.8209255533199
9287,9287,0.1500884261604552,186.86116700201205
9288,9288,0.17651234940543875,186.88128772635812
9289,9289,0.1723892151325498,186.90140845070422
9290,9290,0.16920723646395913,186.9215291750503
9837,9837,0.17679547985373995,197.92756539235413
9838,9838,0.122445817068272,197.9476861167002
9839,9839,0.09467174422727116,197.96780684104627
9840,9840,0.08143275231263775,197.98792756539234
9841,9841,0.09960061190839277,198.0080482897384
9842,9842,0.11995205752330736,198.02816901408448
9843,9843,0.1749684269645938,198.04828973843058
9990,9990,0.11995205752330736,201.0060362173038
9991,9991,0.08232871812386948,201.0261569416499
9992,9992,0.059940879821093584,201.04627766599597
9993,9993,0.05013160705901014,201.06639839034204
9994,9994,0.10630840193938146,201.08651911468812
9995,9995,0.11995205752330736,201.1066398390342
9996,9996,0.16679433048736986,201.12676056338026
10084,10084,0.17720105145943096,202.897384305835
10085,10085,0.1678034174116246,202.91750503018108
10104,10104,0.1293521352194768,203.29979879275652
10105,10105,0.09965845094920628,203.3199195171026
10106,10106,0.0907314228605749,203.3400402414487
10176,10176,0.1225,204.74849094567404
10177,10177,0.039230769230769236,204.7686116700201
10178,10178,0.06278075044222198,204.78873239436618
10179,10179,0.06167513040743361,204.80885311871225
10180,10180,0.10203818089022668,204.82897384305835
10181,10181,0.14739583333949166,204.84909456740442
